Producer,Variety/Vine,Vintage,Red,White,Rosé,Orange,Sparkling,State,Winery?,Vineyard?,Oaked?,AVA,Price/750mL,Rating,ABV %
Paul Hobbs,Cabernet Sauvignon,2019,1,0,0,0,0,California,1,1,1,1,110,91,14.8
Quilt Wines,Blend,2020,1,0,0,0,0,California,0,1,1,1,39.99,91,14.5
Robert Foley Vineyards,Blend,2017,1,0,0,0,0,California,0,1,1,1,41.99,91,14.5
Rombauer Vineyards,Chardonnay,2021,0,1,0,0,0,California,1,1,1,1,36.97,91,14.4
Turnbull,Cabernet Sauvignon,2020,1,0,0,0,0,California,1,1,1,1,60.99,91,14.7
Bruce Patch,Zinfandel,2019,1,0,0,0,0,California,1,0,0,1,36,92,15.5
Daou Vineyards,Cabernet Sauvignon,2021,1,0,0,0,0,California,1,1,1,1,18.99,92,14.1
Faust,Cabernet Sauvignon,2020,1,0,0,0,0,California,1,1,1,1,64.99,92,14.9
Figgins Estate,Red Blend,2017,1,0,0,0,0,Washington,1,1,1,1,114.99,92,14.8
Green Rows,Pinot Noir,2019,1,0,0,0,0,Oregon,1,1,0,1,17.99,92,13
Hourglass Winery,Blend,2021,1,0,0,0,0,California,1,0,1,1,49.99,92,14.5
J. Christopher,Pinot Noir,2018,1,0,0,0,0,Oregon,1,0,0,1,48.99,92,13.5
Ken Wright Cellars,Pinot Noir,2021,1,0,0,0,0,Oregon,1,0,1,1,34.99,92,12.8
River Road Vineyards,Chardonnay,2021,0,1,0,0,0,California,1,1,1,1,21.99,92,13.7
Robert Mondavi,Cabernet Sauvignon,2019,1,0,0,0,0,California,1,0,1,1,52.99,92,15
Shafer Vineyards Relentless,Syrah,2018,1,0,0,0,0,California,1,1,1,1,95,92,15.8
Anakota,Cabernet Sauvignon,2019,1,0,0,0,0,California,1,1,1,1,132.99,93,14.5
Ferrari-Carano Vineyards and Winery,Blend,2018,1,0,0,0,0,California,0,1,1,1,45.99,93,14.5
Fess Parker,Pinot Noir,2020,1,0,0,0,0,California,1,1,1,1,49.99,93,14.1
Roederer Estate,Blend,2015,1,1,0,0,1,California,1,1,1,1,55.99,93,12.5
Underwood,Pinot Noir,2021,1,0,0,0,0,Oregon,1,0,1,0,12.99,93,13
Peake Ranch,Chardonnay,2019,0,1,0,0,0,California,1,1,1,1,47,94,14.5
Seven Rings Oak Knoll District,Cabernet sauvignon,2019,1,0,0,0,0,California,1,0,1,1,39.99,94,13.5
Stags Leap Wine Cellars,Cabernet Sauvignon,2017,1,0,0,0,0,California,1,1,1,1,249.99,94,14.5
Ultramarine Wines,Blend,2017,0,1,0,0,1,California,1,0,1,1,260.99,96,12
